group_key,n,within_group_rmse_mean,within_group_rmse_max
"[""11::11::2048""]",9,0.034161025071141764,0.08716373367142329
"[""11::11::2049""]",9,0.03242039769437082,0.06841662013569887
"[""11::11::2050""]",9,0.032375646656278144,0.05876995709907673
"[""11::11::2051""]",9,0.0349238669638474,0.10139451864371979
"[""11::11::2052""]",9,0.025018356414040384,0.05470416167586794
"[""11::11::2053""]",9,0.024051442317766174,0.045407898345754955
"[""11::11::2054""]",9,0.043342237788565545,0.11796431007222656
"[""11::11::2055""]",9,0.030985487669195042,0.05958351297062928
"[""11::11::2056""]",9,0.02817464354926575,0.05663161903734451
"[""11::11::2057""]",9,0.03444717896418421,0.07968366644756304
"[""11::11::2058""]",9,0.027476720781439912,0.06778494318431634
"[""11::11::2059""]",9,0.036562680096085556,0.1141261050480776
"[""11::11::2060""]",9,0.0409536592267733,0.07515207248244728
"[""11::11::2061""]",9,0.02681054958036457,0.07335250319661273
"[""11::11::2062""]",9,0.03655621302727225,0.09731828640587803
"[""11::11::2063""]",9,0.04125535618299206,0.08763727360211855
"[""11::11::2064""]",9,0.035438501234397124,0.07372863801076988
"[""11::11::2065""]",9,0.02973445160556656,0.06016477248910586
"[""11::11::2066""]",9,0.02565421784729465,0.055440319661826394
"[""11::11::2067""]",9,0.025864557236994976,0.04025882085099147
"[""11::11::2068""]",9,0.028943104935963065,0.07527433845255853
"[""11::11::2069""]",9,0.03506459307039183,0.09697878378378233
"[""11::11::2070""]",9,0.03824414234478467,0.056504777924662374
"[""11::11::2071""]",9,0.02853237958130346,0.04115956023387468
"[""11::11::2072""]",9,0.029411842383311335,0.06273242793750525
"[""11::11::2073""]",9,0.043522905870190344,0.0953898758724247
"[""11::11::2074""]",9,0.04113422254128275,0.09955926676390453
"[""11::11::2075""]",9,0.024910712286274016,0.04811753113025323
"[""11::11::2076""]",9,0.024463064987354823,0.04255464605932668
"[""11::11::2077""]",9,0.031862707401249864,0.11187058641278726
"[""11::11::2078""]",9,0.03910646605910884,0.09485298876838566
"[""11::11::2079""]",9,0.025511823685658845,0.03811179445973985
"[""11::11::2080""]",9,0.026873622880320476,0.05624640893886933
"[""11::11::2081""]",9,0.03552126453335398,0.11671342108041691
"[""11::11::2082""]",9,0.031098892488317185,0.06384481434383038
"[""11::11::2083""]",9,0.03864564287166003,0.08404900215375917
"[""11::11::2084""]",9,0.037597114731291806,0.12068147657916257
"[""11::11::2085""]",9,0.039998113251865405,0.10627925946127399
"[""11::11::2086""]",9,0.034818881300974186,0.0856799919207026
"[""11::11::2087""]",9,0.025840149901130857,0.04488909050133936
"[""11::11::2088""]",9,0.026297252940659894,0.05116693573612212
"[""11::11::2089""]",9,0.04499414566609835,0.13060271215766947
"[""11::11::2090""]",9,0.029825810461488467,0.07257015060108143
"[""11::11::2091""]",9,0.03312290040505764,0.05995182464592008
"[""11::11::2092""]",9,0.03404926274906569,0.06003824567596119
"[""11::11::2093""]",9,0.03456704762566652,0.05002644302757531
"[""11::11::2094""]",9,0.04238221433090677,0.1462455423931022
"[""11::11::2095""]",9,0.0349037992973211,0.07218451204635777
"[""11::11::2096""]",9,0.030135166556725428,0.046906508011438676
"[""11::11::2097""]",9,0.037763551813515074,0.07680588232898916
"[""11::11::2098""]",9,0.024572098850800153,0.04351099706729924
"[""11::11::2099""]",9,0.04168893048475952,0.08323206480024382
"[""11::11::2100""]",9,0.031996036556518004,0.057266707557744066
"[""11::11::2101""]",9,0.025695610399288644,0.04350265325589543
"[""11::11::2102""]",9,0.03717474611523957,0.06149312990803201
"[""11::11::2103""]",9,0.03775060223645722,0.0649156982963648
"[""11::11::2104""]",9,0.036841628533741434,0.12303990013442635
"[""11::11::2105""]",9,0.04342916462325084,0.08324776266094223
"[""11::11::2106""]",9,0.0417066910336262,0.11442811232943755
"[""11::11::2107""]",9,0.029417982162998704,0.05763645474844659
"[""11::11::2108""]",9,0.044995621811819944,0.12282560812773301
"[""11::11::2109""]",9,0.03204763480240055,0.11094837130477041
"[""11::11::2110""]",9,0.03083202731847519,0.07759545335085562
"[""11::11::2111""]",9,0.04691818895722243,0.0899342575274912
"[""11::11::2112""]",9,0.04479479927003551,0.07852863515449253
"[""11::11::2113""]",9,0.06255261436077558,0.16211183111216537
"[""1::1::1""]",9,0.03041041503468692,0.06304091741103324
"[""1::1::10""]",9,0.025989756858880865,0.048450551880568904
"[""1::1::100""]",7,0.04114411831278745,0.1293017443279129
"[""1::1::101""]",8,0.03216935384369391,0.09110040300360561
"[""1::1::102""]",8,0.035943188408681236,0.07169032066194783
"[""1::1::103""]",8,0.03993707644037688,0.07575167453301906
"[""1::1::104""]",8,0.04836485615131761,0.10497686174589202
"[""1::1::105""]",8,0.030908946495640896,0.06321120822099563
"[""1::1::106""]",8,0.030409002347979098,0.056076480617344555
"[""1::1::107""]",16,0.030345949837274636,0.08790172244455599
"[""1::1::108""]",7,0.03783223875419784,0.10957886359576273
"[""1::1::11""]",9,0.029268341471025874,0.056702630353924706
"[""1::1::110""]",8,0.03828634105933731,0.06571218885498263
