geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
body_site_2,29,6.12113023182425e-08,3.09516374895598e-07,0.9999996470388549
body_site_2,30,3.859288057415015e-08,1.9514579889161666e-07,0.9999998421846538
body_site_2,31,3.121024819142735e-08,1.5781534641395043e-07,1.0000000000000002
body_site_3,1,0.16598215097434085,0.9602669483353721,0.9602669483353721
body_site_3,2,0.004713953129416035,0.027271928695996282,0.9875388770313683
body_site_3,3,0.0013414684511259844,0.00776088156641653,0.9952997585977849
body_site_3,4,0.000509364080236719,0.0029468559604109573,0.9982466145581959
body_site_3,5,0.00017108301278627103,0.000989777284099004,0.9992363918422948
body_site_3,6,6.302605794991844e-05,0.0003646286060151887,0.99960102044831
body_site_3,7,3.6461306590550916e-05,0.00021094188385015753,0.9998119623321602
body_site_3,8,1.2951348845584655e-05,7.492825077739242e-05,0.9998868905829376
body_site_3,9,8.07056272233937e-06,4.66911326985279e-05,0.9999335817156361
body_site_3,10,3.594331780666497e-06,2.0794513085078833e-05,0.9999543762287212
body_site_3,11,2.87351654580907e-06,1.6624335497747837e-05,0.999971000564219
body_site_3,12,1.7928666229402399e-06,1.0372383721243104e-05,0.9999813729479402
body_site_3,13,1.1875215733707938e-06,6.870243039081211e-06,0.9999882431909793
body_site_3,14,6.581656085431635e-07,3.8077267748671342e-06,0.9999920509177542
body_site_3,15,5.139392906884231e-07,2.9733252123917277e-06,0.9999950242429666
body_site_3,16,3.3030523022191734e-07,1.9109355649538853e-06,0.9999969351785314
body_site_3,17,1.4117260301938536e-07,8.167347145112177e-07,0.9999977519132459
body_site_3,18,1.0028929225871535e-07,5.802099325901527e-07,0.9999983321231785
body_site_3,19,7.28494588631934e-08,4.2146054343672333e-07,0.9999987535837219
body_site_3,20,6.87524233800995e-08,3.977577070927088e-07,0.999999151341429
body_site_3,21,4.696090386684094e-08,2.7168586250128394e-07,0.9999994230272915
body_site_3,22,2.5165390752408014e-08,1.4559091347850876e-07,0.9999995686182049
body_site_3,23,1.694480651246573e-08,9.803185188493082e-08,0.9999996666500568
body_site_3,24,1.4064864292308422e-08,8.137034153036157e-08,0.9999997480203985
body_site_3,25,9.277156881190144e-09,5.367171756260785e-08,0.999999801692116
